td_item,classification,project,issue_number,introduction_time,identification_time,repayment_decision_time,remediation_time,identification_latency,discussion_period,remediation_latency,remediation_latency_without_discussion
HBASE-1396|0,Code-DedCd,HBASE,1396,07/05/2009,09/05/2009,09/05/2009,09/05/2009,2,,,0
HBASE-14517|1,Code-LQualCd,HBASE,14517,19/03/2015,09/10/2015,09/10/2015,09/10/2015,204,,,0
HBASE-14517|0,Design-Des,HBASE,14517,19/03/2015,30/09/2015,30/09/2015,09/10/2015,195,,,9
HBASE-14604|1,Test-LacTst,HBASE,14604,25/04/2014,15/10/2015,15/10/2015,20/10/2015,538,,,5
HBASE-14604|0,Design-Des,HBASE,14604,25/04/2014,14/10/2015,14/10/2015,20/10/2015,537,,,6
HBASE-15617|0,Design-Des,HBASE,15617,08/09/2015,08/04/2016,08/04/2016,02/05/2016,213,,,24
HBASE-16856|0,Design-Des,HBASE,16856,26/01/2014,17/10/2016,17/10/2016,17/10/2016,995,,,0
HBASE-17101|0,Design-Des,HBASE,17101,23/04/2014,15/11/2016,15/11/2016,09/12/2016,937,,,24
HBASE-18646|0,Design-Des,HBASE,18646,21/08/2017,21/08/2017,21/08/2017,01/09/2017,0,,,11
HBASE-19478|0,Code-SlAlg,HBASE,19478,22/08/2017,10/12/2017,10/12/2017,01/01/2018,110,,,22
HBASE-19531|0,Code-LQualCd,HBASE,19531,25/02/2013,16/12/2017,16/12/2017,18/12/2017,1755,,,2
IMPALA-1022|0,Test-LacTst,IMPALA,1022,28/05/2014,30/05/2014,30/05/2014,31/05/2014,2,,,1
IMPALA-1120|0,Architecture-ObsTech,IMPALA,1120,29/10/2013,29/07/2014,29/07/2014,07/01/2015,273,,,162
IMPALA-1290|0,Test-LacTst,IMPALA,1290,19/08/2014,20/09/2014,20/09/2014,21/09/2014,32,,,1
IMPALA-1430|0,Design-Des,IMPALA,1430,30/10/2012,28/10/2014,28/10/2014,28/09/2016,728,,,701
IMPALA-1596|0,Code-LQualCd,IMPALA,1596,09/07/2014,10/12/2014,10/12/2014,16/12/2014,154,,,6
IMPALA-1598|0,Design-Des,IMPALA,1598,14/08/2014,11/12/2014,11/12/2014,02/02/2015,119,,,53
IMPALA-1651|0,Design-Des,IMPALA,1651,17/03/2014,09/01/2015,09/01/2015,27/01/2016,298,,,383
IMPALA-1929|0,Code-LQualCd,IMPALA,1929,12/08/2014,31/03/2015,31/03/2015,13/07/2015,231,,,104
IMPALA-1934|0,Design-Des,IMPALA,1934,13/06/2014,02/04/2015,02/04/2015,24/11/2015,293,,,236
IMPALA-1963|1,Design-Des,IMPALA,1963,27/11/2013,15/05/2015,15/05/2015,04/06/2015,534,,,20
IMPALA-1963|0,Code-LQualCd,IMPALA,1963,27/11/2013,22/04/2015,22/04/2015,29/05/2015,511,,,37
IMPALA-2068|0,Design-Des,IMPALA,2068,03/12/2012,15/06/2015,15/06/2015,15/06/2015,924,,,0
IMPALA-2076|0,Design-Des,IMPALA,2076,25/03/2013,18/06/2015,18/06/2015,03/03/2016,815,,,259
IMPALA-2295|0,Design-Des,IMPALA,2295,22/09/2014,03/09/2015,03/09/2015,03/09/2015,346,,,0
IMPALA-231|1,Code-LQualCd,IMPALA,231,10/04/2013,16/04/2013,16/04/2013,16/04/2013,6,,,0
IMPALA-2341|0,Code-LQualCd,IMPALA,2341,02/10/2014,14/09/2015,14/09/2015,14/09/2015,347,,,0
IMPALA-2435|0,Design-Des,IMPALA,2435,29/01/2014,26/09/2015,26/09/2015,30/09/2015,605,,,4
IMPALA-2457|0,Code-LQualCd,IMPALA,2457,28/07/2015,01/10/2015,01/10/2015,01/10/2015,65,,,0
IMPALA-2632|0,Design-Des,IMPALA,2632,22/06/2012,04/11/2015,04/11/2015,13/11/2015,1230,,,9
IMPALA-2642|0,Code-MTCor,IMPALA,2642,21/08/2014,06/11/2015,06/11/2015,16/01/2018,442,,,802
IMPALA-3017|0,Test-ExpTst,IMPALA,3017,25/08/2015,17/02/2016,17/02/2016,17/02/2016,176,,,0
IMPALA-3077|0,Design-Des,IMPALA,3077,03/09/2014,24/02/2016,24/02/2016,12/04/2016,539,,,48
IMPALA-321|0,Design-Des,IMPALA,321,08/01/2013,27/04/2013,27/04/2013,10/06/2013,109,,,44
IMPALA-322|0,Design-Des,IMPALA,322,16/04/2013,27/04/2013,27/04/2013,03/05/2013,11,,,6
IMPALA-3276|0,Code-LQualCd,IMPALA,3276,18/12/2015,30/03/2016,30/03/2016,30/03/2016,103,,,0
IMPALA-330|0,Code-MTCor,IMPALA,330,12/07/2012,30/04/2013,30/04/2013,24/02/2014,292,,,300
IMPALA-3329|0,Design-Des,IMPALA,3329,23/09/2013,11/04/2016,11/04/2016,11/04/2016,931,,,0
IMPALA-3548|0,Design-Des,IMPALA,3548,02/05/2016,16/05/2016,16/05/2016,18/07/2017,14,,,428
IMPALA-3671|0,Design-Des,IMPALA,3671,24/07/2015,03/06/2016,03/06/2016,03/08/2016,315,,,61
THRIFT-1055|0,Design-Des,THRIFT,1055,11/01/2008,08/02/2011,08/02/2011,08/02/2011,1124,,,0
THRIFT-1065|2,Design-Des,THRIFT,1065,15/02/2010,22/02/2011,22/02/2011,22/02/2011,372,,,0
THRIFT-1065|0,Code-LQualCd,THRIFT,1065,26/03/2010,17/02/2011,17/02/2011,22/02/2011,328,,,5
THRIFT-1065|1,Code-DedCd,THRIFT,1065,15/08/2010,17/02/2011,17/02/2011,22/02/2011,186,,,5
THRIFT-1100|0,Code-LQualCd,THRIFT,1100,22/02/2011,19/03/2011,19/03/2011,21/03/2011,25,,,2
THRIFT-1103|1,Code-LQualCd,THRIFT,1103,21/03/2011,22/03/2011,22/03/2011,22/03/2011,1,,,0
THRIFT-1199|0,Test-LCvg,THRIFT,1199,01/09/2009,07/06/2011,07/06/2011,08/06/2011,644,,,1
THRIFT-1199|1,Code-LQualCd,THRIFT,1199,01/09/2009,07/06/2011,07/06/2011,08/06/2011,644,,,1
THRIFT-1241|0,Code-LQualCd,THRIFT,1241,17/02/2009,20/07/2011,20/07/2011,04/08/2011,883,,,15
THRIFT-1241|1,Design-Des,THRIFT,1241,17/02/2009,20/07/2011,20/07/2011,04/08/2011,883,,,15
THRIFT-1243|2,Code-LQualCd,THRIFT,1243,06/10/2010,09/09/2011,09/09/2011,11/09/2011,338,,,2
THRIFT-1243|0,Design-Des,THRIFT,1243,06/10/2010,24/07/2011,24/07/2011,28/07/2011,291,,,4
THRIFT-1275|0,Code-LQualCd,THRIFT,1275,16/01/2008,18/08/2011,18/08/2011,19/08/2011,1310,,,1
THRIFT-1314|0,Code-LQualCd,THRIFT,1314,05/03/2007,31/08/2011,31/08/2011,01/09/2011,1640,,,1
THRIFT-1452|0,Design-Des,THRIFT,1452,27/02/2008,07/12/2011,07/12/2011,09/12/2011,1379,,,2
THRIFT-1504|0,Code-LQualCd,THRIFT,1504,10/09/2007,25/01/2012,25/01/2012,27/01/2012,1598,,,2
THRIFT-1595|0,Design-Des,THRIFT,1595,29/01/2009,04/05/2012,04/05/2012,16/01/2013,1191,,,257
THRIFT-1799|0,Design-Des,THRIFT,1799,13/10/2010,21/12/2012,21/12/2012,21/12/2012,800,,,0
THRIFT-1813|0,Code-LQualCd,THRIFT,1813,01/09/2009,28/12/2012,28/12/2012,09/11/2013,1214,,,316
THRIFT-1829|0,Design-Des,THRIFT,1829,27/10/2010,15/01/2013,15/01/2013,15/01/2013,811,,,0
THRIFT-1842|0,Code-LQualCd,THRIFT,1842,20/10/2012,22/01/2013,22/01/2013,23/01/2013,94,,,1
THRIFT-1873|0,Code-DedCd,THRIFT,1873,18/10/2011,04/03/2013,04/03/2013,07/03/2013,503,,,3
THRIFT-1924|0,Design-Des,THRIFT,1924,18/10/2011,09/04/2013,09/04/2013,24/04/2013,539,,,15
THRIFT-1932|0,Code-LQualCd,THRIFT,1932,13/04/2012,18/04/2013,18/04/2013,05/05/2013,370,,,17
THRIFT-1982|0,Code-LQualCd,THRIFT,1982,13/04/2012,29/05/2013,29/05/2013,04/06/2013,411,,,6
THRIFT-1999|0,Code-LQualCd,THRIFT,1999,13/04/2012,05/06/2013,05/06/2013,29/08/2013,418,,,85
THRIFT-2032|1,Code-LQualCd,THRIFT,2032,11/01/2008,15/06/2013,15/06/2013,25/06/2013,1982,,,10
THRIFT-2210|0,Test-LacTst,THRIFT,2210,15/01/2009,26/09/2013,26/09/2013,27/09/2013,1715,,,1
THRIFT-2225|0,Design-Des,THRIFT,2225,13/04/2012,09/10/2013,09/10/2013,02/02/2014,544,,,116
THRIFT-2227|0,Code-LQualCd,THRIFT,2227,16/12/2010,14/10/2013,14/10/2013,11/11/2013,1033,,,28
THRIFT-2246|1,Code-LQualCd,THRIFT,2246,04/11/2013,04/11/2013,04/11/2013,05/11/2013,0,,,1
THRIFT-2246|0,Code-LQualCd,THRIFT,2246,18/10/2011,29/10/2013,29/10/2013,04/11/2013,742,,,6
THRIFT-2263|0,Design-Des,THRIFT,2263,02/03/2008,16/11/2013,16/11/2013,08/12/2013,2085,,,22
THRIFT-2279|0,Design-Des,THRIFT,2279,08/09/2013,02/12/2013,02/12/2013,03/12/2013,85,,,1
THRIFT-240|0,Design-Des,THRIFT,240,04/03/2008,20/12/2008,20/12/2008,22/01/2009,291,,,33
CAMEL-12104|0,Design-Des,CAMEL,12104,18/11/2010,27/12/2017,27/12/2017,20/03/2018,2596,,,83
CAMEL-1256|0,Code-DedCd,CAMEL,1256,28/08/2007,14/01/2009,14/01/2009,19/01/2009,505,,,5
CAMEL-12646|0,Design-Des,CAMEL,12646,16/01/2017,12/07/2018,12/07/2018,12/07/2018,542,,,0
CAMEL-2535|0,Code-DedCd,CAMEL,2535,24/02/2009,10/03/2010,10/03/2010,11/03/2010,379,,,1
CAMEL-3048|0,Design-Des,CAMEL,3048,06/07/2010,12/08/2010,12/08/2010,22/08/2010,37,,,10
CAMEL-3077|0,Design-Des,CAMEL,3077,28/04/2010,25/08/2010,25/08/2010,25/08/2010,119,,,0
HADOOP-10106|0,Code-MTCor,HADOOP,10106,25/08/2011,16/11/2013,16/11/2013,16/12/2013,814,,,30
HADOOP-10169|0,Code-DedCd,HADOOP,10169,25/08/2011,17/12/2013,17/12/2013,20/12/2013,845,,,3
HADOOP-10214|0,Code-LQualCd,HADOOP,10214,07/01/2014,09/01/2014,09/01/2014,09/01/2014,2,,,0
HADOOP-10496|0,Code-LQualCd,HADOOP,10496,25/08/2011,13/04/2014,13/04/2014,14/04/2014,962,,,1
HADOOP-10499|0,Code-DedCd,HADOOP,10499,25/08/2011,14/04/2014,14/04/2014,16/04/2014,963,,,2
HADOOP-11063|0,Code-LQualCd,HADOOP,11063,05/05/2014,04/09/2014,04/09/2014,04/09/2014,122,,,0
HADOOP-12923|0,Architecture-VioMod,HADOOP,12923,25/08/2011,14/03/2016,14/03/2016,14/03/2016,1663,,,0
HBASE-10008|0,Test-FlakyTst,HBASE,10008,13/08/2013,20/11/2013,20/11/2013,21/11/2013,99,,,1
